time_s,Vout_V,iL_A,duty,Rload_ohm
0.118520,5.002856,0.996264,0.41993,5.00
0.118530,5.003555,0.994594,0.41957,5.00
0.118540,5.004162,0.992621,0.41945,5.00
0.118550,5.004451,0.990568,0.41947,5.00
0.118560,5.003790,0.989494,0.42067,5.00
0.118570,5.003117,0.989506,0.42132,5.00
0.118580,5.002469,0.990111,0.42164,5.00
0.118590,5.001863,0.991023,0.42178,5.00
0.118600,5.001241,0.992076,0.42182,5.00
0.118610,5.000412,0.993458,0.42213,5.00
0.118620,4.999662,0.995126,0.42224,5.00
0.118630,4.998998,0.996890,0.42222,5.00
0.118640,4.998420,0.998642,0.42215,5.00
0.118650,4.997946,1.000324,0.42204,5.00
0.118660,4.997633,1.001811,0.42181,5.00
0.118670,4.997385,1.003087,0.42163,5.00
0.118680,4.997192,1.004198,0.42150,5.00
0.118690,4.997047,1.005173,0.42138,5.00
0.118700,4.996929,1.006034,0.42129,5.00
0.118710,4.996788,1.006861,0.42128,5.00
0.118720,4.996686,1.007667,0.42125,5.00
0.118730,4.996620,1.008425,0.42120,5.00
0.118740,4.996587,1.009121,0.42114,5.00
0.118750,4.996623,1.009750,0.42109,5.00
0.118760,4.996838,1.010143,0.42084,5.00
0.118770,4.997062,1.010296,0.42070,5.00
0.118780,4.997287,1.010307,0.42062,5.00
0.118790,4.997508,1.010231,0.42058,5.00
0.118800,4.997568,1.010104,0.42056,5.00
0.118810,4.997025,1.010600,0.42133,5.00
0.118820,4.996529,1.011759,0.42170,5.00
0.118830,4.996099,1.013222,0.42184,5.00
0.118840,4.995742,1.014786,0.42185,5.00
0.118850,4.995666,1.016336,0.42180,5.00
0.118860,4.996464,1.016930,0.42067,5.00
0.118870,4.997252,1.016499,0.42007,5.00
0.118880,4.997997,1.015522,0.41979,5.00
0.118890,4.998682,1.014278,0.41968,5.00
0.118900,4.999513,1.012928,0.41968,5.00
0.118910,5.001096,1.010666,0.41867,5.00
0.118920,5.002536,1.007508,0.41825,5.00
0.118930,5.003808,1.003984,0.41816,5.00
0.118940,5.004906,1.000396,0.41826,5.00
0.118950,5.005570,0.996912,0.41845,5.00
0.118960,5.005049,0.994746,0.42001,5.00
0.118970,5.004475,0.993987,0.42089,5.00
0.118980,5.003896,0.994026,0.42136,5.00
0.118990,5.003336,0.994503,0.42159,5.00
0.119000,5.003104,0.995209,0.42169,5.00
0.119010,5.004051,0.994771,0.42023,5.00
0.119020,5.004932,0.993068,0.41951,5.00
0.119030,5.005710,0.990757,0.41922,5.00
0.119040,5.006369,0.988217,0.41916,5.00
0.119050,5.006633,0.985661,0.41924,5.00
0.119060,5.005724,0.984366,0.42075,5.00
0.119070,5.004804,0.984439,0.42156,5.00
0.119080,5.003917,0.985263,0.42196,5.00
0.119090,5.003088,0.986475,0.42214,5.00
0.119100,5.002217,0.987863,0.42218,5.00
0.119110,5.000992,0.989772,0.42269,5.00
0.119120,4.999879,0.992151,0.42288,5.00
0.119130,4.998890,0.994702,0.42287,5.00
0.119140,4.998025,0.997253,0.42277,5.00
0.119150,4.997559,0.999711,0.42262,5.00
0.119160,4.998280,1.000849,0.42105,5.00
0.119170,4.999006,1.000595,0.42022,5.00
0.119180,4.999691,0.999599,0.41981,5.00
0.119190,5.000314,0.998239,0.41964,5.00
0.119200,5.000702,0.996732,0.41961,5.00
0.119210,5.000379,0.995902,0.42048,5.00
0.119220,5.000045,0.995845,0.42095,5.00
0.119230,4.999723,0.996208,0.42119,5.00
0.119240,4.999427,0.996786,0.42130,5.00
0.119250,4.999229,0.997459,0.42133,5.00
0.119260,4.999321,0.997877,0.42099,5.00
0.119270,4.999422,0.997991,0.42080,5.00
0.119280,4.999523,0.997936,0.42070,5.00
0.119290,4.999617,0.997792,0.42065,5.00
0.119300,4.999594,0.997606,0.42063,5.00
0.119310,4.999137,0.997869,0.42118,5.00
0.119320,4.998711,0.998614,0.42145,5.00
0.119330,4.998329,0.999591,0.42155,5.00
0.119340,4.997998,1.000654,0.42157,5.00
0.119350,4.997786,1.001722,0.42153,5.00
0.119360,4.997885,1.002462,0.42113,5.00
0.119370,4.998007,1.002839,0.42090,5.00
0.119380,4.998138,1.003002,0.42077,5.00
0.119390,4.998272,1.003039,0.42070,5.00
0.119400,4.998542,1.003003,0.42066,5.00
0.119410,4.999341,1.002340,0.41995,5.00
0.119420,5.000085,1.001044,0.41962,5.00
0.119430,5.000754,0.999452,0.41951,5.00
0.119440,5.001341,0.997761,0.41951,5.00
0.119450,5.001749,0.996080,0.41958,5.00
0.119460,5.001694,0.994889,0.42018,5.00
0.119470,5.001601,0.994238,0.42053,5.00
0.119480,5.001489,0.993905,0.42073,5.00
0.119490,5.001368,0.993760,0.42085,5.00
0.119500,5.001461,0.993727,0.42091,5.00
0.119510,5.002392,0.992842,0.41986,5.00
0.119520,5.003248,0.991040,0.41936,5.00
0.119530,5.004001,0.988818,0.41918,5.00
0.119540,5.004642,0.986460,0.41918,5.00
0.119550,5.004735,0.984128,0.41928,5.00
0.119560,5.003026,0.983763,0.42162,5.00
0.119570,5.001378,0.985489,0.42281,5.00
0.119580,4.999854,0.988285,0.42334,5.00
0.119590,4.998486,0.991560,0.42350,5.00
0.119600,4.997462,0.994977,0.42345,5.00
0.119610,4.997294,0.997584,0.42239,5.00
0.119620,4.997219,0.999246,0.42175,5.00
0.119630,4.997203,1.000335,0.42137,5.00
0.119640,4.997226,1.001069,0.42113,5.00
0.119650,4.997029,1.001580,0.42098,5.00
0.119660,4.995895,1.002995,0.42213,5.00
0.119670,4.994864,1.005403,0.42265,5.00
0.119680,4.993966,1.008248,0.42282,5.00
0.119690,4.993209,1.011211,0.42279,5.00
0.119700,4.992843,1.014114,0.42266,5.00
0.119710,4.993586,1.015793,0.42121,5.00
0.119720,4.994359,1.016153,0.42041,5.00
0.119730,4.995121,1.015775,0.42000,5.00
0.119740,4.995846,1.014998,0.41980,5.00
0.119750,4.996458,1.014019,0.41974,5.00
0.119760,4.996762,1.013235,0.42007,5.00
0.119770,4.997036,1.012725,0.42027,5.00
0.119780,4.997289,1.012370,0.42040,5.00
0.119790,4.997526,1.012102,0.42047,5.00
0.119800,4.997771,1.011881,0.42052,5.00
0.119810,4.998086,1.011597,0.42045,5.00
0.119820,4.998382,1.011232,0.42042,5.00
0.119830,4.998659,1.010831,0.42042,5.00
0.119840,4.998914,1.010419,0.42044,5.00
0.119850,4.998947,1.010009,0.42046,5.00
0.119860,4.998180,1.010467,0.42150,5.00
0.119870,4.997467,1.011831,0.42201,5.00
0.119880,4.996836,1.013627,0.42221,5.00
0.119890,4.996296,1.015580,0.42224,5.00
0.119900,4.996242,1.017536,0.42218,5.00
0.119910,4.997795,1.017747,0.42010,5.00
0.119920,4.999289,1.016101,0.41904,5.00
0.119930,5.000667,1.013506,0.41857,5.00
0.119940,5.001902,1.010492,0.41844,5.00
0.119950,5.002854,1.007360,0.41849,5.00
0.119960,5.003144,1.004841,0.41930,5.00
0.119970,5.003338,1.003051,0.41981,5.00
0.119980,5.003463,1.001724,0.42014,5.00
0.119990,5.003536,1.000700,0.42036,5.00
0.120000,5.008013,0.999884,0.42051,10.00
0.120010,5.029760,0.980289,0.39816,10.00
0.120020,5.049934,0.940997,0.38758,10.00
0.120030,5.067955,0.892501,0.38373,10.00
0.120040,5.083591,0.840841,0.38363,10.00
