time_s,Vout_V,iL_A,duty,Rload_ohm
0.016720,5.001464,0.500720,0.42022,10.00
0.016730,5.000658,0.502453,0.42032,10.00
0.016740,4.999937,0.504285,0.42031,10.00
0.016750,4.999445,0.506111,0.42023,10.00
0.016760,4.999590,0.507265,0.41940,10.00
0.016770,4.999765,0.507687,0.41894,10.00
0.016780,4.999947,0.507699,0.41869,10.00
0.016790,5.000121,0.507487,0.41856,10.00
0.016800,5.000072,0.507160,0.41851,10.00
0.016810,4.999187,0.507679,0.41955,10.00
0.016820,4.998357,0.509120,0.42006,10.00
0.016830,4.997609,0.511007,0.42026,10.00
0.016840,4.996956,0.513065,0.42030,10.00
0.016850,4.996710,0.515138,0.42023,10.00
0.016860,4.997765,0.515819,0.41855,10.00
0.016870,4.998801,0.515000,0.41768,10.00
0.016880,4.999772,0.513391,0.41726,10.00
0.016890,5.000654,0.511406,0.41712,10.00
0.016900,5.001174,0.509284,0.41712,10.00
0.016910,5.000566,0.508285,0.41853,10.00
0.016920,4.999953,0.508537,0.41928,10.00
0.016930,4.999373,0.509457,0.41966,10.00
0.016940,4.998848,0.510705,0.41981,10.00
0.016950,4.998733,0.512085,0.41984,10.00
0.016960,5.000035,0.512006,0.41805,10.00
0.016970,5.001280,0.510338,0.41714,10.00
0.016980,5.002420,0.507867,0.41675,10.00
0.016990,5.003431,0.505050,0.41664,10.00
0.017000,5.004104,0.502149,0.41670,10.00
0.017010,5.003848,0.500178,0.41786,10.00
0.017020,5.003535,0.499260,0.41853,10.00
0.017030,5.003199,0.498953,0.41891,10.00
0.017040,5.002862,0.498997,0.41911,10.00
0.017050,5.002689,0.499238,0.41921,10.00
0.017060,5.003139,0.498922,0.41846,10.00
0.017070,5.003554,0.497966,0.41810,10.00
0.017080,5.003914,0.496706,0.41795,10.00
0.017090,5.004212,0.495336,0.41793,10.00
0.017100,5.004454,0.493966,0.41797,10.00
0.017110,5.004668,0.492621,0.41800,10.00
0.017120,5.004821,0.491330,0.41806,10.00
0.017130,5.004916,0.490128,0.41815,10.00
0.017140,5.004960,0.489030,0.41824,10.00
0.017150,5.005144,0.488044,0.41833,10.00
0.017160,5.006015,0.486371,0.41747,10.00
0.017170,5.006784,0.483971,0.41710,10.00
0.017180,5.007431,0.481281,0.41700,10.00
0.017190,5.007951,0.478550,0.41706,10.00
0.017200,5.008171,0.475914,0.41720,10.00
0.017210,5.007582,0.474204,0.41826,10.00
0.017220,5.006947,0.473490,0.41887,10.00
0.017230,5.006300,0.473365,0.41921,10.00
0.017240,5.005660,0.473587,0.41939,10.00
0.017250,5.005027,0.474013,0.41948,10.00
0.017260,5.004374,0.474608,0.41956,10.00
0.017270,5.003754,0.475321,0.41959,10.00
0.017280,5.003171,0.476092,0.41958,10.00
0.017290,5.002626,0.476886,0.41954,10.00
0.017300,5.001901,0.477679,0.41950,10.00
0.017310,5.000361,0.479391,0.42055,10.00
0.017320,4.998934,0.482059,0.42103,10.00
0.017330,4.997647,0.485157,0.42117,10.00
0.017340,4.996511,0.488386,0.42112,10.00
0.017350,4.995594,0.491572,0.42097,10.00
0.017360,4.995085,0.494335,0.42044,10.00
0.017370,4.994689,0.496612,0.42006,10.00
0.017380,4.994389,0.498537,0.41979,10.00
0.017390,4.994170,0.500197,0.41957,10.00
0.017400,4.994104,0.501643,0.41940,10.00
0.017410,4.994425,0.502556,0.41884,10.00
0.017420,4.994770,0.502944,0.41852,10.00
0.017430,4.995121,0.503021,0.41834,10.00
0.017440,4.995470,0.502916,0.41825,10.00
0.017450,4.995783,0.502704,0.41820,10.00
0.017460,4.995984,0.502539,0.41832,10.00
0.017470,4.996179,0.502454,0.41838,10.00
0.017480,4.996370,0.502405,0.41842,10.00
